2017-03-11 06:14:20,953 WARN org.apache.hadoop.util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2017-03-11 06:14:22,694 INFO org.apache.hadoop.conf.Configuration.deprecation: session.id is deprecated. Instead, use dfs.metrics.session-id
2017-03-11 06:14:22,701 INFO org.apache.hadoop.metrics.jvm.JvmMetrics: Initializing JVM Metrics with processName=JobTracker, sessionId=
2017-03-11 06:14:23,186 WARN org.apache.hadoop.mapreduce.JobResourceUploader: No job jar file set.  User classes may not be found. See Job or Job#setJar(String).
2017-03-11 06:14:23,500 INFO org.apache.hadoop.mapreduce.lib.input.FileInputFormat: Total input paths to process : 1
2017-03-11 06:14:23,972 INFO org.apache.hadoop.mapreduce.JobSubmitter: number of splits:1
2017-03-11 06:14:24,407 INFO org.apache.hadoop.mapreduce.JobSubmitter: Submitting tokens for job: job_local348786128_0001
2017-03-11 06:14:25,596 INFO org.apache.hadoop.mapreduce.Job: The url to track the job: http://localhost:8080/
2017-03-11 06:14:25,603 INFO org.apache.hadoop.mapreduce.Job: Running job: job_local348786128_0001
2017-03-11 06:14:25,631 INFO org.apache.hadoop.mapred.LocalJobRunner: OutputCommitter set in config null
2017-03-11 06:14:25,801 INFO org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter: File Output Committer Algorithm version is 1
2017-03-11 06:14:25,805 INFO org.apache.hadoop.mapred.LocalJobRunner: OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
2017-03-11 06:14:26,165 INFO org.apache.hadoop.mapred.LocalJobRunner: Waiting for map tasks
2017-03-11 06:14:26,169 INFO org.apache.hadoop.mapred.LocalJobRunner: Starting task: attempt_local348786128_0001_m_000000_0
2017-03-11 06:14:26,460 INFO org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter: File Output Committer Algorithm version is 1
2017-03-11 06:14:26,550 INFO org.apache.hadoop.mapred.Task:  Using ResourceCalculatorProcessTree : [ ]
2017-03-11 06:14:26,579 INFO org.apache.hadoop.mapred.MapTask: Processing split: file:/media/sf_Documents/GitHub/HadoopSAMOUHM2/inputSimilarity/part-r-00000:0+1671366
2017-03-11 06:14:26,612 INFO org.apache.hadoop.mapreduce.Job: Job job_local348786128_0001 running in uber mode : false
2017-03-11 06:14:26,615 INFO org.apache.hadoop.mapreduce.Job:  map 0% reduce 0%
2017-03-11 06:14:27,063 INFO org.apache.hadoop.mapred.MapTask: (EQUATOR) 0 kvi 26214396(104857584)
2017-03-11 06:14:27,065 INFO org.apache.hadoop.mapred.MapTask: mapreduce.task.io.sort.mb: 100
2017-03-11 06:14:27,066 INFO org.apache.hadoop.mapred.MapTask: soft limit at 83886080
2017-03-11 06:14:27,066 INFO org.apache.hadoop.mapred.MapTask: bufstart = 0; bufvoid = 104857600
2017-03-11 06:14:27,067 INFO org.apache.hadoop.mapred.MapTask: kvstart = 26214396; length = 6553600
2017-03-11 06:14:27,119 INFO org.apache.hadoop.mapred.MapTask: Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer
2017-03-11 06:14:32,591 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:32,640 INFO org.apache.hadoop.mapreduce.Job:  map 2% reduce 0%
2017-03-11 06:14:35,602 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:38,604 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:41,606 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:41,653 INFO org.apache.hadoop.mapreduce.Job:  map 3% reduce 0%
2017-03-11 06:14:44,608 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:47,612 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:50,613 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:50,667 INFO org.apache.hadoop.mapreduce.Job:  map 4% reduce 0%
2017-03-11 06:14:53,630 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:56,636 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:14:59,637 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
2017-03-11 06:15:02,639 INFO org.apache.hadoop.mapred.LocalJobRunner: map > map
